부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
^^와 ㅍㅍ가 만남 ,아시빵쥐,E-11,E,11,,2sp,앙상블스타즈,"천관사복,페르소나",,"아마기 히이로,시라토리 아이라,지사,풍사,아마미야 렌,아케치 고로",아마기 히이로X시라토리 아이라,"로맨틱,섹슈얼,로맨틱","지풍, 주아케","소설,만화",breadmouse1127,https://dongne.co/events/df2607/circles/167846,제34회 디. 페스타(토),Day1
  ,환상뜨락,G-08,G,08,,2sp,"탑꾸,탑로더","키링,볼꾸",,,,,,공예,Dreamy_garden,https://dongne.co/events/df2607/circles/167479,제34회 디. 페스타(토),Day1
.,Smo,K-15b,K,15,b,1sp,,,,,,,,,,https://dongne.co/events/df2607/circles/169308,제34회 디. 페스타(토),Day1
.,"건결, 교근, 게고지소녀",M-01,M,01,,2sp,주술회전,,게토고죠 쁘띠존 「맛있어져라~♥︎ 스구사토큥♡」,"게토 스구루,고죠 사토루",게토 스구루X고죠 사토루,로맨틱,,"소설,만화",gungyeol_gg,https://dongne.co/events/df2607/circles/167685,제34회 디. 페스타(토),Day1
.,달님,L-17a,L,17,a,1sp,,,,,,,,,,https://dongne.co/events/df2607/circles/168384,제34회 디. 페스타(토),Day1
.,밤식,E-22,E,22,,2sp,명일방주,,,,,,,,,https://dongne.co/events/df2607/circles/168593,제34회 디. 페스타(토),Day1
.,뉸뉴,E-20a,E,20,a,1sp,명일방주(예정),,,명일방주,,해당없음,,일러스트,min4deul,https://dongne.co/events/df2607/circles/168616,제34회 디. 페스타(토),Day1
.,.,K-12b,K,12,b,1sp,.,,,.,,,,기타,,https://dongne.co/events/df2607/circles/168142,제34회 디. 페스타(토),Day1
.,슴디,W-01,W,01,,2sp,,,,,,,,,,https://dongne.co/events/df2607/circles/168091,제34회 디. 페스타(토),Day1
.,모로,C-23b,C,23,b,1sp,히프노시스 마이크,,히프노시스 마이크 쁘띠존,,진구지 쟈쿠라이X아마구니 히토야,로맨틱,,,nowifeelalive,https://dongne.co/events/df2607/circles/168736,제34회 디. 페스타(토),Day1
.,.,E-05,E,05,,2sp,오오에,,,,,,,,,https://dongne.co/events/df2607/circles/168127,제34회 디. 페스타(토),Day1
(주) 무림미식회,단팥빵,Z-10a,Z,10,a,1sp,월한강천록: 무림제일폐,,,유소월,홍륜X소월,"로맨틱,섹슈얼",소월른,"만화,일러스트",Annbbang,https://dongne.co/events/df2607/circles/167211,제34회 디. 페스타(토),Day1
(임시) ,후요,H-20,H,20,,2sp,,,,,,,,소설,,https://dongne.co/events/df2607/circles/166581,제34회 디. 페스타(토),Day1
(자리비움) 회지 사러 다녀오겠습니다. 저도 먹고 살아야지요 ^ㅡ^,죽잠,U-18b,U,18,b,1sp,이세계 착각 헌터,,,,정하성X□□□ (완결스포캐),로맨틱,,소설,,https://dongne.co/events/df2607/circles/168212,제34회 디. 페스타(토),Day1
[최솔] 최 요원 담당 민원창구 (신고내용 : 솔냐니보유),"매콤,애국",N-23,N,23,,2sp,괴담출근,,최솔 쁘띠존 : 달달하고 달콤한 세레나데,"최 요원,김솔음",최요원X김솔음,"로맨틱,로맨틱",,,"SP1CY_FL4V0R, NOVEL_ISAAC",https://dongne.co/events/df2607/circles/168476,제34회 디. 페스타(토),Day1
ㅇ,ahr327ovo,U-20,U,20,,2sp,,,,,,,,,,https://dongne.co/events/df2607/circles/168702,제34회 디. 페스타(토),Day1
망,연화,O-15b,O,15,b,1sp,괴담출근,,,<괴담에 떨어져도 출근을 해야 하는구나> 작 중 캐릭터,브라운X김솔음,,,,Lotus_flower432,https://dongne.co/events/df2607/circles/168061,제34회 디. 페스타(토),Day1
함,두부,O-16,O,16,,2sp,괴담출근,,,김솔음,,,,,dbu_4068,https://dongne.co/events/df2607/circles/167548,제34회 디. 페스타(토),Day1
훤,훤,H-08,H,08,,2sp,"오리지널,괴담출근",,,,,,,,G_hywon,https://dongne.co/events/df2607/circles/168283,제34회 디. 페스타(토),Day1
아~앙?! 에서 아앙♡♡까지,Zinn,M-20,M,20,,2sp,주술회전,,게토고죠 쁘띠존 「맛있어져라~♥︎ 스구사토큥♡」,게토 스구루 고죠 사토루,게토 스구루X고죠 사토루,"로맨틱,섹슈얼",,소설,Zinn69611032,https://dongne.co/events/df2607/circles/167887,제34회 디. 페스타(토),Day1
원 투 쓰리 지하노역 디비전 「레페젠 다이겐」,"likiti, 요로결석충격파쇄석술",C-07,C,07,,2sp,히프노시스 마이크,카이지 외전(카이지 없음),히프노시스 마이크 쁘띠존,"아리스가와 다이스,유메노 겐타로",아리스가와 다이스X유메노 겐타로,"섹슈얼,로맨틱",,만화,"likitiii, 126649J06",https://dongne.co/events/df2607/circles/169231,제34회 디. 페스타(토),Day1
✦ 웰컴 투 헬 ✦ - 헬라버스 쁘띠존 주최부스,,F-13,F,13,,2sp,,,✦ 웰컴 투 헬 ✦ - 헬라버스 쁘띠존,,,,,,,https://dongne.co/events/df2607/circles/175398,제34회 디. 페스타(토),Day1
한 고게 넘어 사랑!,양갱,L-07,L,07,,2sp,주술회전,,,"고죠사토루,게토 스구루",고죠 사토루X게토 스구루,로맨틱,,,za_yess,https://dongne.co/events/df2607/circles/167666,제34회 디. 페스타(토),Day1
퀸 오브 디바. 미다스의 황금손. 이 세계의 떠오르는 슈퍼스타,슈,O-07,O,07,,2sp,괴담출근,,,"김솔음,최요원,류재관",,,,"만화,기타",syu625327,https://dongne.co/events/df2607/circles/167066,제34회 디. 페스타(토),Day1
